,Species,Variety,Farm Name,Country,Region,Altitude,Owner,Company,Mill,Producer,In-Country Partner,Harvest Year,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,Quality Score,Moisture,Category One Defects,Quakers,Color,Category Two Defects,Expiration of Certification
0,Arabica,,METAD PLC,Ethiopia,GUJI-HAMBELA/GOYO,1950-2200,metad plc,METAD Agricultural Developmet plc,METAD PLC,METAD PLC,METAD Agricultural Development plc,2014,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,  90.58,90.58,12 ,0,0.0,Green,0,"April 3rd, 2016"
1,Arabica,Other,METAD PLC,Ethiopia,GUJI-HAMBELA/ALAKA,1950-2200,metad plc,METAD Agricultural Developmet plc,METAD PLC,METAD PLC,METAD Agricultural Development plc,2014,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,  89.92,89.92,12 ,0,0.0,Green,1,"April 3rd, 2016"
2,Arabica,Bourbon,"San Marcos Barrancas ""San Cristobal Cuch",Guatemala,,1600 - 1800 m,Grounds for Health Admin,,,,Specialty Coffee Association,,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,  89.75,89.75,0 ,0,0.0,,0,"May 31st, 2011"
3,Arabica,,Yidnekachew Dabessa Coffee Plantation,Ethiopia,Oromia,1800-2200,Yidnekachew Dabessa,Yidnekachew Debessa Coffee Plantation,Wolensu,Yidnekachew Dabessa Coffee Plantation,METAD Agricultural Development plc,2014,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,  89.00,89.0,11 ,0,0.0,Green,2,"March 25th, 2016"
4,Arabica,Other,METAD PLC,Ethiopia,GUJI-HAMBELA/BISHAN FUGU,1950-2200,metad plc,METAD Agricultural Developmet plc,METAD PLC,METAD PLC,METAD Agricultural Development plc,2014,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,  88.83,88.83,12 ,0,0.0,Green,2,"April 3rd, 2016"
5,Arabica,,,Brazil,,,Ji-Ae Ahn,,,,Specialty Coffee Institute of Asia,2013,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,  88.83,88.83,11 ,0,0.0,Bluish-Green,1,"September 3rd, 2014"
6,Arabica,Other,,Peru,,,Hugo Valdivia,Richmond Investment-coffee department,HVC,HVC,Specialty Coffee Institute of Asia,2012,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,  88.75,88.75,11 ,0,0.0,Bluish-Green,0,"September 17th, 2013"
7,Arabica,,Aolme,Ethiopia,Oromia,1570-1700,Ethiopia Commodity Exchange,,C.P.W.E,Bazen Agricultural & Industrial Dev't Plc,Ethiopia Commodity Exchange,March 2010,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,  88.67,88.67,3 ,0,0.0,,0,"September 2nd, 2011"
8,Arabica,,Aolme,Ethiopia,Oromiya,1570-1700,Ethiopia Commodity Exchange,,C.P.W.E,Bazen Agricultural & Industrial Dev't Plc,Ethiopia Commodity Exchange,March 2010,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,  88.42,88.42,3 ,0,0.0,,0,"September 2nd, 2011"
9,Arabica,Other,Tulla Coffee Farm,Ethiopia,"SNNP/Kaffa Zone,GimboWereda",1795-1850,Diamond Enterprise Plc,DIAMOND ENTERPRISE PLC,Tulla Coffee Farm,Diamond Enterprise Plc,METAD Agricultural Development plc,2014,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,  88.25,88.25,10 ,0,0.0,Green,4,"March 29th, 2016"
10,Arabica,,Fahem Coffee Plantation,Ethiopia,Oromia,1855-1955,Mohammed Lalo,Fahem Coffee Plantation,,Fahem Coffee Plantation,METAD Agricultural Development plc,2014,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,  88.08,88.08,10 ,0,0.0,,1,"March 26th, 2016"
11,Arabica,Other,El filo,United States,Antioquía-Giraldo,Meters above sea level: 1.872,CQI Q Coffee Sample Representative,Coffee Quality Institute,,Alfredo De Jesús López Pérez,Almacafé,2014,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,  87.92,87.92,0 ,0,0.0,,0,"March 12th, 2016"
