,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3,Angola,84,71,80,39,8,41,52,50,54,50,22,14,9,17,6,5,5,4,6,7,4,8,8,6,9,11,11,9,9
4,Benin,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bolivia,156,74,96,47,84,94,123,111,97,124,106,70,79,73,93,84,93,84,68,83,78,74,63,55,62,30,22,26,22
6,Brazil,"16,936","21,183","18,791","17,838","17,273","14,468","15,251","16,801","18,144","23,149","18,016","23,172","27,982","25,711","26,478","26,198","27,369","28,184","29,510","30,378","33,167","33,806","28,549","31,651","37,335","37,563","34,269","30,925","35,383"
7,Burundi,585,688,646,418,508,528,224,529,374,409,444,303,289,476,339,371,281,356,251,289,307,218,392,195,252,230,261,169,202
8,Cameroon,"2,611","1,752","1,646",705,546,407,564,"1,368",746,"1,154","1,205","1,125",640,814,734,704,739,721,527,618,794,490,622,272,375,390,281,245,287
9,Central African Rep,197,141,100,137,137,232,98,203,102,195,203,94,95,40,64,47,17,122,33,62,95,78,78,1,75,43,80,18,39
10,Colombia,"13,944","12,599","16,564","13,568","11,768","9,814","10,588","10,919","11,260","9,995","9,177","9,944","10,273","10,244","10,194","10,871","10,945","11,300","11,085","7,894","7,822","7,734","7,170","9,670","10,954","12,716","12,831","12,985","12,808"
11,"Congo, Repub. of the ",2,1,0,1,1,19,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Costa Rica,"2,266","2,400","2,431","2,364","2,105","2,067","2,430","2,099","2,045","2,195","1,965","2,018","1,784","1,702","1,424","1,480","1,310","1,364","1,440","1,236","1,200","1,243","1,374","1,344","1,209","1,128","1,007",987,"1,208"
13,Cote d'Ivoire,"4,283","3,805","4,546","4,033","2,444","2,494","2,751","4,713","4,365","2,406","6,110","4,095","3,253","2,647","2,573","1,754","1,751","2,196","1,490","1,807","1,912",772,"1,712","1,962","1,489","1,418","1,432",855,"1,522"
14,Cuba,182,121,163,116,136,122,112,107,152,77,113,109,57,50,25,24,16,16,4,7,5,10,15,12,13,13,15,15,33
15,"Congo, Dem. Rep.","1,839","1,418",954,920,761,"1,051",882,544,640,487,281,133,179,212,253,158,138,200,203,161,162,132,146,140,151,128,171,89,188
16,Dominican Republic,535,476,369,331,332,451,453,307,360,161,155,97,117,151,46,42,125,78,82,102,41,89,137,65,45,19,19,24,32
17,Ecuador,"1,784","1,416","1,273","1,599","2,145","1,540","1,539","1,045","1,056",988,697,756,565,621,704,993,"1,015",991,868,"1,086","1,202","1,532","1,580","1,262","1,129",869,923,695,483
18,El Salvador,"2,510","2,148","2,120","2,947","2,093","1,807","2,314","2,772","1,684","1,890","2,537","1,533","1,533","1,304","1,328","1,280","1,293","1,210","1,438","1,309","1,082","1,826","1,044","1,103",462,576,496,527,571
19,Equatorial Guinea,7,3,3,2,1,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Ethiopia,"1,074",841,734,"1,167","1,475","1,276","1,838","1,980","1,917","1,818","1,982","1,376","2,055","2,229","2,491","2,435","2,936","2,604","2,852","1,851","3,324","2,675","3,203","2,870","3,117","2,985","3,001","3,773","3,589"
21,Gabon,2,3,1,2,5,3,2,0,2,3,1,2,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0
22,Ghana,11,16,32,47,11,38,4,30,18,94,91,57,25,25,22,18,9,22,36,24,7,72,30,23,26,40,27,17,12
23,Guatemala,"3,240","2,832","3,328","3,751","3,274","3,701","3,979","4,244","3,542","4,681","4,852","4,110","3,491","3,821","3,310","3,466","3,312","3,726","3,778","3,493","3,468","3,697","3,750","3,575","3,043","2,961","2,991","3,383","3,327"
24,Guinea,122,61,58,15,50,152,32,114,228,301,292,356,136,355,296,279,519,436,208,439,406,385,377,134,24,152,250,216,157
25,Guyana,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,13,2,2,1,1
26,Haiti,191,151,166,159,103,152,156,101,127,72,73,87,41,37,32,25,24,21,17,16,9,9,11,8,3,3,1,2,2
27,Honduras,"1,735","1,444","1,960","1,705","1,718","1,796","2,060","1,722","2,329","1,987","2,879","2,392","2,711","2,425","2,779","2,392","2,898","3,312","3,259","3,084","3,349","3,947","5,508","4,185","4,252","5,030","5,306","7,341","7,144"
28,India,"1,979","1,727","1,816","2,102","2,496","2,467","3,103","2,640","3,487","3,622","4,229","3,730","3,550","3,707","3,647","2,829","3,578","3,319","3,377","3,007","4,647","5,414","5,044","5,033","5,131","5,262","6,086","6,542","5,967"
29,Indonesia,"6,903","6,171","4,604","5,662","4,605","3,947","6,440","5,755","5,598","5,115","5,358","5,243","4,286","4,795","5,456","6,744","5,280","4,149","5,741","7,907","5,489","3,920","8,206","9,255","6,175","8,379","6,545","8,198","4,539"
30,Jamaica,15,17,22,24,16,26,27,30,17,24,29,28,26,25,29,15,25,23,21,25,15,16,15,15,10,12,11,10,10
31,Kenya,"1,969","1,558","1,384","1,439","1,358","1,450","1,902","1,159",841,"1,114","1,328","1,096",736,920,754,673,597,817,608,525,531,609,803,815,799,712,727,710,753
32,Laos,98,98,102,142,153,165,144,110,112,191,255,198,278,233,267,237,120,252,258,264,288,421,360,400,370,403,386,386,361
33,Liberia,22,0,0,0,0,0,0,0,3,15,4,7,6,7,0,1,0,2,2,9,7,8,3,4,1,4,3,11,8
34,Madagascar,863,588,736,628,436,585,718,480,796,464,216,87,145,119,127,96,179,99,196,40,74,144,79,166,138,59,53,64,6
35,Malawi,124,100,128,104,78,92,60,60,59,54,61,64,44,49,26,21,17,19,21,18,8,26,20,29,26,18,22,13,12
36,Mexico,"3,683","3,531","3,332","3,264","2,789","3,626","4,633","4,502","3,399","4,358","5,304","3,333","2,645","2,596","2,362","1,985","2,570","2,912","2,448","2,838","2,498","2,907","3,556","3,132","2,480","2,458","2,233","2,911","2,888"
