,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
7,   Austria,333,333,367,333,283,274,246,231,210,188,162,142,135,131,130,129,126,128,129,138,141,111,97,92,96,96,90,80,80
8,   Cyprus,10,12,10,8,13,13,12,6,9,9,10,12,13,13,6,7,8,8,8,5,5,6,4,7,12,6,2,3,5
9,   Denmark,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
10,   Finland,176,223,213,188,282,220,140,181,162,177,101,90,77,94,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
11,   France,573,562,537,389,481,301,266,317,350,306,351,584,719,650,621,520,476,368,504,483,427,414,446,438,499,507,572,475,464
12,   Germany,"4,000","1,600","2,500","2,000","3,900","2,300","1,600","1,900","1,600","2,200","2,500","2,850","3,580","3,290","3,190","2,885","3,101","3,341","3,211","2,911","2,680","2,462","2,859","2,636","3,120","3,519","3,991","3,601","3,518"
13,   Ireland,,,,,,,,,,,,,6,7,10,8,6,11,8,7,4,6,7,6,6,4,4,4,3
14,   Italy,215,189,187,228,222,217,223,227,234,235,245,253,253,265,269,278,294,314,317,317,326,329,346,352,371,370,403,396,396
15,   Netherlands,"1,752","1,752","1,048",707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707
16,   Portugal,68,143,121,220,159,86,115,131,101,82,124,106,111,178,170,150,130,120,110,100,101,90,110,120,100,129,129,129,129
17,   Spain,200,250,333,250,267,284,303,323,344,367,391,417,444,474,505,401,462,618,555,570,570,570,570,837,640,637,734,723,715
18,   Sweden,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
19,   United Kingdom,189,168,170,204,213,187,132,110,128,114,132,208,141,148,180,48,86,54,54,72,47,41,41,39,40,43,26,20,29
21,Japan,"1,500","1,167","1,333","1,250","1,467",833,983,917,883,"1,150","1,400","1,383","1,717","1,733","1,783","2,000","2,317","2,033","1,850","1,683","1,755","2,204","2,027","2,881","2,934","3,185","3,229","3,021","2,603"
22,Norway,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
23,Switzerland,321,351,302,327,286,193,140,118,165,139,171,228,182,228,230,204,154,145,91,161,154,203,209,206,206,217,219,368,338
24,United States,"5,982","6,150","9,422","7,814","4,087","1,990","1,327","1,428","1,408","2,627","5,593","5,398","5,720","5,490","5,075","4,667","4,987","5,466","5,230","4,570","3,974","4,295","4,736","5,087","5,525","5,836","6,256","6,632","6,133"
